user,create,delete,modify,total_edits
EoinOrr,240.0,0.0,13.0,253.0
Mpaqo,216.0,0.0,31.0,247.0
stephen Ngakane,237.0,0.0,9.0,246.0
Stephen Clement,241.0,1.0,2.0,244.0
Miss O,235.0,0.0,4.0,239.0
conor casey,236.0,0.0,0.0,236.0
Patrick Ferry,198.0,2.0,13.0,213.0
ChristineFriel,193.0,0.0,18.0,211.0
Malik12,208.0,0.0,0.0,208.0
katpatuka,0.0,195.0,0.0,195.0
AmyKOR,159.0,0.0,34.0,193.0
LarsBG,0.0,189.0,0.0,189.0
Malik1240,189.0,0.0,0.0,189.0
Koshizy,182.0,3.0,3.0,188.0
Lara (EWC),0.0,187.0,0.0,187.0
mathelvo,181.0,0.0,5.0,186.0
FVerjans,0.0,180.0,0.0,180.0
Cliveton S,176.0,0.0,0.0,176.0
DAHNiall,169.0,1.0,0.0,170.0
Mpaleng Oliphant,134.0,2.0,31.0,167.0
NoelB,0.0,166.0,0.0,166.0
YasminHamed,152.0,0.0,0.0,152.0
neljah,131.0,1.0,20.0,152.0
The Big D 123,0.0,152.0,0.0,152.0
SK53,66.0,53.0,32.0,151.0
RAytoun,47.0,76.0,22.0,145.0
orlaburke,139.0,0.0,0.0,139.0
Kgotty wa Mol,113.0,1.0,23.0,137.0
Blarneystone,135.0,0.0,0.0,135.0
raqueel_31,101.0,2.0,29.0,132.0
Nicole Curran,126.0,0.0,5.0,131.0
nyampire,0.0,125.0,0.0,125.0
Amelia99,0.0,124.0,0.0,124.0
Adamogo98,121.0,0.0,0.0,121.0
morganK,0.0,121.0,0.0,121.0
Nomza,119.0,1.0,0.0,120.0
Lehlohonolo,116.0,3.0,1.0,120.0
tmonale,116.0,0.0,2.0,118.0
Moseme,0.0,112.0,0.0,112.0
MartinaTY,0.0,111.0,0.0,111.0
bahlaxC,106.0,0.0,0.0,106.0
Bonix-Mapper,0.0,105.0,0.0,105.0
stilatila1,104.0,0.0,0.0,104.0
notinblue43,16.0,85.0,2.0,103.0
joshua_carr,89.0,0.0,13.0,102.0
Mokakose,101.0,0.0,0.0,101.0
liteboho,95.0,5.0,0.0,100.0
philipleonard1234,0.0,100.0,0.0,100.0
laurencoyle,93.0,0.0,7.0,100.0
emmadouglas,96.0,3.0,0.0,99.0
ntebo,81.0,17.0,0.0,98.0
WillByrne,0.0,97.0,0.0,97.0
bcsandidge,0.0,97.0,0.0,97.0
rippunzel,0.0,96.0,0.0,96.0
msdess,0.0,93.0,0.0,93.0
Cian Gargan,60.0,32.0,0.0,92.0
Stefanoodle,0.0,92.0,0.0,92.0
matthieun,84.0,0.0,0.0,84.0
Manfredolbrich,0.0,80.0,0.0,80.0
prfnv,0.0,79.0,0.0,79.0
caradevlin,0.0,77.0,0.0,77.0
Diarmuid Gallagher,74.0,0.0,0.0,74.0
Lideiruetxe,74.0,0.0,0.0,74.0
wilshere,73.0,0.0,0.0,73.0
aschetelig,71.0,0.0,0.0,71.0
rpg911,0.0,68.0,0.0,68.0
Ralph Brennan,0.0,68.0,0.0,68.0
Rezane van Vuuren (EWCop),0.0,67.0,0.0,67.0
Murph_Mon,0.0,66.0,0.0,66.0
Mabatho,65.0,0.0,0.0,65.0
amyrogan,63.0,0.0,0.0,63.0
Khahliso,62.0,0.0,0.0,62.0
Aurimas Fišeras,0.0,10.0,47.0,57.0
eltonp,1.0,55.0,0.0,56.0
Wares,56.0,0.0,0.0,56.0
excess L williams,54.0,0.0,0.0,54.0
Tumsa,50.0,0.0,2.0,52.0
ayoyeni,0.0,52.0,0.0,52.0
OisinD,51.0,0.0,0.0,51.0
ailishb,51.0,0.0,0.0,51.0
ruthmaben,6.0,0.0,44.0,50.0
bjoernchr74,0.0,49.0,0.0,49.0
KDDA,0.0,49.0,0.0,49.0
triazone,0.0,49.0,0.0,49.0
gracekennyburke,0.0,47.0,0.0,47.0
Enock4seth,0.0,44.0,0.0,44.0
Papali Leboela,0.0,43.0,0.0,43.0
wohnung058,7.0,0.0,36.0,43.0
keepright! er,0.0,41.0,0.0,41.0
samely,39.0,0.0,2.0,41.0
Paul Mallet,0.0,40.0,0.0,40.0
Patricka,0.0,40.0,0.0,40.0
bgirardot,39.0,0.0,0.0,39.0
Rdowd,39.0,0.0,0.0,39.0
rorym,0.0,39.0,0.0,39.0
Liraneko,38.0,0.0,0.0,38.0
Alan Bragg,0.0,37.0,0.0,37.0
Seandebasti,26.0,0.0,11.0,37.0
jonwit,37.0,0.0,0.0,37.0
Sundance,0.0,36.0,0.0,36.0
aoifemcg,29.0,6.0,0.0,35.0
Andre68,0.0,0.0,34.0,34.0
demimcveigh,31.0,0.0,0.0,31.0
ReinisLo,0.0,30.0,0.0,30.0
thakyla,29.0,0.0,0.0,29.0
Edgar zola,6.0,0.0,22.0,28.0
petermcloughlin,0.0,27.0,0.0,27.0
CiaranPalmer,0.0,26.0,0.0,26.0
fx99,0.0,26.0,0.0,26.0
Callum_Robinson,22.0,3.0,0.0,25.0
Patrick Bous,23.0,0.0,1.0,24.0
RationalTangle,22.0,0.0,2.0,24.0
MapMakinMeyers,24.0,0.0,0.0,24.0
Léo_M,0.0,24.0,0.0,24.0
Ignobilis,0.0,22.0,0.0,22.0
mavusana,21.0,0.0,0.0,21.0
T_9er,0.0,21.0,0.0,21.0
pedrito1414,0.0,21.0,0.0,21.0
Cato_d_Ae,0.0,21.0,0.0,21.0
TrevorCB,0.0,20.0,0.0,20.0
jbontes,0.0,19.0,0.0,19.0
abel801,0.0,0.0,19.0,19.0
Kheekhe,17.0,2.0,0.0,19.0
nkazo,19.0,0.0,0.0,19.0
Niquee15,18.0,0.0,0.0,18.0
ciaraodonnell,15.0,0.0,3.0,18.0
terri ferry,17.0,0.0,0.0,17.0
vpettenati,4.0,0.0,13.0,17.0
Melissa carrillo,17.0,0.0,0.0,17.0
SJWoolford,0.0,17.0,0.0,17.0
AnyFile,0.0,16.0,0.0,16.0
Latze,0.0,14.0,0.0,14.0
wvdp,0.0,14.0,0.0,14.0
Chris Viljoen (EWCop),0.0,12.0,0.0,12.0
yungcolorado33,0.0,12.0,0.0,12.0
LizzieN,0.0,12.0,0.0,12.0
Fifi1984,10.0,2.0,0.0,12.0
eul,0.0,12.0,0.0,12.0
SeanM99,0.0,10.0,0.0,10.0
Eóin Holton,0.0,9.0,0.0,9.0
MannyChoudhry,0.0,9.0,0.0,9.0
mariemallon,9.0,0.0,0.0,9.0
jacenda,9.0,0.0,0.0,9.0
triciadoherty,8.0,0.0,0.0,8.0
Ernst Poulsen,0.0,8.0,0.0,8.0
Alecs01,0.0,8.0,0.0,8.0
carrotblasphemy,0.0,7.0,0.0,7.0
Little Brother,0.0,7.0,0.0,7.0
RicoElectrico,0.0,7.0,0.0,7.0
Steven_Boyd,0.0,7.0,0.0,7.0
Rbanick,0.0,7.0,0.0,7.0
Stratos P,0.0,6.0,0.0,6.0
mayorgatellez,0.0,6.0,0.0,6.0
EO'Driscoll,0.0,6.0,0.0,6.0
MattOD11,0.0,6.0,0.0,6.0
lobstaaa,0.0,6.0,0.0,6.0
dannykath,1.0,0.0,5.0,6.0
Luis36995,0.0,0.0,6.0,6.0
przemas75,0.0,6.0,0.0,6.0
sbarx,0.0,5.0,0.0,5.0
SammysHP,0.0,5.0,0.0,5.0
zvaraondrej,0.0,5.0,0.0,5.0
Courtney6,4.0,1.0,0.0,5.0
ElliottPlack,4.0,0.0,1.0,5.0
calfarome,0.0,0.0,5.0,5.0
ATaaffe_10,0.0,5.0,0.0,5.0
Alex24223,0.0,4.0,0.0,4.0
vialma,0.0,4.0,0.0,4.0
Katiso Rachabane,3.0,0.0,1.0,4.0
reg111,0.0,4.0,0.0,4.0
Malerole,0.0,4.0,0.0,4.0
the big j,0.0,4.0,0.0,4.0
bonnabrand,1.0,3.0,0.0,4.0
Nomnomnom,0.0,4.0,0.0,4.0
KZawadzki,0.0,3.0,0.0,3.0
LollyMay,0.0,3.0,0.0,3.0
ratrun,1.0,0.0,2.0,3.0
benek,0.0,3.0,0.0,3.0
Ntate MOKOENA,0.0,0.0,3.0,3.0
Tlalane,0.0,3.0,0.0,3.0
Kieran Connor1,2.0,0.0,0.0,2.0
brogo,0.0,0.0,2.0,2.0
skorasaurus,0.0,2.0,0.0,2.0
crabbers99,0.0,2.0,0.0,2.0
bcs78,0.0,2.0,0.0,2.0
cramsay10,0.0,2.0,0.0,2.0
moudiouf1,0.0,2.0,0.0,2.0
Yarl,0.0,2.0,0.0,2.0
Miguel Carrilho,0.0,2.0,0.0,2.0
Luke Purtell,0.0,2.0,0.0,2.0
Fingal,0.0,2.0,0.0,2.0
Bryce C Nesbitt,0.0,0.0,2.0,2.0
jake2869,0.0,2.0,0.0,2.0
thomasF,1.0,1.0,0.0,2.0
Emmet Sinclair,0.0,2.0,0.0,2.0
Math1985,0.0,2.0,0.0,2.0
weeto,1.0,0.0,0.0,1.0
Qarabagh,0.0,1.0,0.0,1.0
Qoqolosi,0.0,1.0,0.0,1.0
azimut400gon,0.0,1.0,0.0,1.0
stephen1999,0.0,1.0,0.0,1.0
simlox,0.0,1.0,0.0,1.0
antwob,0.0,1.0,0.0,1.0
bigalxyz123,0.0,1.0,0.0,1.0
andygol,1.0,0.0,0.0,1.0
Jan van Bekkum,0.0,1.0,0.0,1.0
Vincent de Phily,0.0,1.0,0.0,1.0
JMK247W,0.0,1.0,0.0,1.0
JFK73,0.0,1.0,0.0,1.0
HarryMcLauchlan,0.0,1.0,0.0,1.0
Geogoeroe,0.0,1.0,0.0,1.0
