,user,create,delete,modify,total_edits,type,last_30days
46,Tlalane,625.0,65.0,0.0,690.0,delete,58.0
74,matsele,378.0,296.0,1.0,675.0,delete,296.0
97,sheaz,397.0,8.0,1.0,406.0,delete,8.0
35,Mpai,349.0,0.0,0.0,349.0,0,0.0
14,Kheekhe,290.0,11.0,0.0,301.0,delete,8.0
101,tdamane,301.0,0.0,0.0,301.0,0,0.0
62,kekemabona,171.0,7.0,11.0,189.0,delete,6.0
65,liteboho,95.0,5.0,0.0,100.0,0,0.0
100,stivo24,74.0,2.0,1.0,77.0,delete,2.0
111,wilshere,73.0,0.0,0.0,73.0,0,0.0
25,Liraneko,38.0,0.0,0.0,38.0,0,0.0
76,mojabeng,30.0,8.0,0.0,38.0,delete,8.0
75,mavusana,21.0,10.0,0.0,31.0,0,0.0
31,Malerole,0.0,4.0,0.0,4.0,0,0.0
